,Total population,Male,Female,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,65 to 74 years,75 to 84 years,White,Black or African American,Asian,Hispanic or Latino (of any race)
BK72,32828,16820,16008,6163,3773,3620,3279,3064,3960,2416,2161,1306,987,796,770,30366,913,30,3779
BK73,46070,22290,23780,3017,2480,2315,2361,4123,13445,7162,4860,1684,1405,1683,1014,36143,2605,2048,17189
BK76,31522,15499,16023,937,878,914,879,2653,10463,4465,4068,2045,1519,1314,986,26941,304,1577,4725
BK90,33155,15587,17568,1341,913,1342,1460,3038,9522,4605,3482,1575,1450,2128,1741,20732,3455,3951,10927
BK09,23498,11805,11693,1538,543,547,1109,1464,5809,4242,2564,1446,1355,1610,854,18810,1282,1713,1747
BK38,35373,17227,18146,2145,2038,1487,1448,2276,8988,6349,4529,1339,1505,1857,928,18073,8643,3016,8406
BK68,26982,11367,15615,1640,1200,1285,1521,2329,6268,4293,2867,1169,1373,1575,1036,9095,11844,2283,5101
BK69,36413,17412,19001,2191,1762,1290,1911,4569,8290,6195,3367,1850,1704,1952,807,15020,15204,1911,5943
BK35,64331,28872,35459,4878,4337,4312,4478,5326,10603,9019,8682,3422,3064,3961,1652,7778,48310,1880,13632
BK75,70095,33241,36854,7277,5714,5326,5255,6497,12341,9768,7375,2597,2716,3003,1786,22449,37726,1890,13102
BK77,61817,31752,30065,4902,4077,3684,4930,6965,13567,9016,6732,2529,1826,2193,1040,22177,7838,3645,46357
BK78,71247,33944,37303,4585,5066,5144,5310,6751,14537,9218,8255,3388,2754,3644,2003,27651,22571,1602,42733
BK99,416,180,236,28,25,45,30,37,120,20,60,23,11,0,17,286,95,0,86
BK82,91956,40807,51149,7596,7463,7391,8228,7706,12579,12456,11454,4514,3982,5293,2182,16326,65258,1625,25812
BK83,47526,22721,24805,3983,3421,3296,4415,4627,6811,7035,6652,2319,1618,1937,1237,23808,13207,3483,29024
BK93,12822,4442,8380,626,878,605,757,1125,1342,1537,1592,587,495,1370,1457,5022,6231,319,2696
BK33,39422,18464,20958,2398,2346,1936,1595,1883,9184,7377,4576,2333,1666,2056,1422,25764,4793,2348,8503
BK37,72864,34912,37952,4946,3355,2875,2649,4557,19019,13091,8752,3972,3637,3531,1724,53183,5138,4678,12688
BK32,54932,29432,25500,4340,3811,3016,3040,4887,12509,7813,6513,2741,1867,2287,1429,24381,2766,8749,34060
